"round","newround.time","choice.time","buttonpress.time","conf.time","reveal.time","choice.location","choice.class","outcome","win.prob","exputil","exputil.gamble","pot.payoff","payoff","rpe","fictive"
112,441.864000044,442.630000076,443.749000034,443.769000015,444.295000038,"Left","Safebet","WouldHaveLost",0.5,10,12.5,25,10,0,10
113,445.315000019,446.081999979,447.15900012,447.180000029,447.705000124,"Right","Safebet","WouldHaveLost",0.5,10,15,30,10,0,10
114,448.726000032,449.492000065,450.39900013,450.419000111,450.943999968,"Left","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
115,451.966000042,452.732000074,453.691000185,453.711000166,454.235000095,"Left","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
116,455.255000076,456.020000181,457.259000025,457.279000006,457.805000029,"Left","Safebet","WouldHaveLost",0.4,10,12,30,10,0,10
117,458.827000103,459.59499999,460.321000061,460.341999969,460.867000065,"Right","Gamble","Win",0.7,10.5,10.5,15,15,4.5,5
118,461.887000046,462.653000078,463.471000156,463.492000065,464.015999994,"Left","Gamble","Win",1,25,25,25,25,0,15
119,465.035999975,465.803000174,466.775000057,466.795000038,467.320000133,"Left","Gamble","Win",0.6,18,18,30,30,12,20
120,468.341000042,469.108000002,470.047000132,470.067000113,470.594000063,"Left","Safebet","WouldHaveLost",0.1,10,2.5,25,10,0,10
121,471.614999971,472.38200017,473.406000099,473.427000008,473.953000031,"Right","Safebet","WouldHaveLost",0.4,10,8,20,10,0,10
122,474.974000177,475.742000065,476.894000015,476.915000162,477.441000185,"Left","Safebet","WouldHaveLost",0.1,10,2.5,25,10,0,10
123,478.462000093,479.229000053,479.943999968,479.965000114,480.489999971,"Left","Gamble","Win",0.6,12,12,20,20,8,10
124,481.511000118,482.277000151,483.311000071,483.331999979,483.857000074,"Left","Gamble","Win",1,30,30,30,30,0,20
125,484.877999983,485.645000181,486.890000067,486.910000048,487.436000071,"Left","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
126,488.456999979,489.222000084,490.245000086,490.265000067,490.79100009,"Right","Safebet","WouldHaveLost",0.5,10,7.5,15,10,0,10
127,491.811999998,492.580000124,493.483000002,493.504000149,494.030000172,"Right","Safebet","WouldHaveLost",0,10,0,25,10,0,10
128,495.052000008,495.820000133,496.999000034,497.020000181,497.545999966,"Left","Safebet","WouldHaveWon",0.4,10,10,25,10,0,-15
129,498.565000019,499.333000145,500.770000181,500.79100009,501.31800004,"Right","Safebet","WouldHaveLost",0.3,10,6,20,10,0,10
130,502.338000021,503.103000126,503.877000055,503.897999964,504.423000059,"Left","Gamble","Win",0.7,21,21,30,30,9,20
131,505.443999968,506.21,507.32500001,507.34499999,507.871000013,"Right","Safebet","WouldHaveLost",0.3,10,9,30,10,0,10
132,508.890999994,509.656000099,510.533000193,510.553000174,511.078999958,"Left","Gamble","Win",0.8,20,20,25,25,5,15
133,512.099000177,512.864999971,514.03400012,514.055000029,514.581000051,"Right","Gamble","Win",0.6,18,18,30,30,12,20
134,515.60199996,516.369000158,517.436000071,517.456000051,517.982000074,"Left","Safebet","WouldHaveWon",0.2,10,4,20,10,0,-10
135,519.004000149,519.769000015,520.923999987,520.943999968,521.469000063,"Right","Safebet","WouldHaveLost",0.3,10,6,20,10,0,10
136,522.489999971,523.255000076,523.959000072,523.979999981,524.504000149,"Left","Gamble","Win",0.9,22.5,22.5,25,25,2.5,15
137,525.525000057,526.288999996,527.443999968,527.465000114,527.989999971,"Left","Safebet","WouldHaveLost",0.3,10,9,30,10,0,10
138,529.012000046,529.777000151,530.804000101,530.82500001,531.350000105,"Left","Gamble","Win",1,15,15,15,15,0,5
139,532.370000086,533.135000191,533.936999998,533.956999979,534.483000002,"Right","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
140,535.504000149,536.268000088,537.314000092,537.335,537.860000095,"Left","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
141,538.881000004,539.647999964,540.742000065,540.762000046,541.288000069,"Left","Safebet","WouldHaveWon",0.3,10,9,30,10,0,-20
142,542.30800005,543.07500001,544.527000151,544.548000059,545.071999989,"Left","Gamble","Win",0.6,9,9,15,15,6,5
143,546.091999969,546.857000074,547.972000084,547.992999992,548.518000088,"Right","Safebet","WouldHaveLost",0.1,10,2,20,10,0,10
144,549.538000069,550.304000101,551.367000065,551.387999973,551.913999996,"Right","Safebet","WouldHaveLost",0.3,10,4.5,15,10,0,10
145,552.935000143,553.70000001,554.695000133,554.715000114,555.239999971,"Right","Safebet","WouldHaveWon",0.4,10,6,15,10,0,-5
146,556.260000191,557.027000151,557.824000082,557.84499999,558.370000086,"Left","Gamble","Win",0.5,15,15,30,30,15,20
147,559.390999994,560.158000193,560.867999992,560.889000139,561.413999996,"Right","Safebet","WouldHaveLost",0.2,10,4,20,10,0,10
148,562.436000071,563.201000175,563.908000193,563.930000029,564.453999958,"Left","Gamble","Win",1,15,15,15,15,0,5
149,565.474000177,566.239000044,567.054000101,567.07500001,567.600000105,"Left","Gamble","Win",0.9,18,18,20,20,2,10
150,568.619000158,569.386000118,570.283000193,570.303000174,570.828000031,"Right","Gamble","Win",0.9,22.5,22.5,25,25,2.5,15
151,571.849000177,572.616000137,573.60199996,573.622000179,574.147000036,"Right","Safebet","WouldHaveLost",0,10,0,15,10,0,10
152,575.167000017,575.933999977,576.833000145,576.853000126,577.377000055,"Right","Gamble","Win",0.8,20,20,25,25,5,15
153,578.39900013,579.165000162,579.84499999,579.866000137,580.390000067,"Left","Gamble","Win",0.9,18,18,20,20,2,10
154,581.410999975,582.179000101,583.192000113,583.213000021,583.737000189,"Right","Safebet","WouldHaveWon",0.3,10,9,30,10,0,-20
155,584.758000097,585.522999964,586.372000179,586.393000088,586.919000111,"Left","Safebet","WouldHaveWon",0.2,10,4,20,10,0,-10
156,587.939000092,588.706999979,589.881000004,589.900999985,590.42600008,"Right","Gamble","Win",0.6,9,9,15,15,6,5
157,591.446999989,592.212000093,593.402000151,593.422000132,593.949000082,"Right","Safebet","WouldHaveLost",0.4,10,6,15,10,0,10
158,594.96999999,595.735000095,596.736000023,596.755000076,597.281000099,"Right","Gamble","Win",0.9,13.5,13.5,15,15,1.5,5
159,598.300000153,599.06800004,600.235000095,600.255000076,600.781000099,"Right","Safebet","WouldHaveLost",0.3,10,9,30,10,0,10
160,601.800000153,602.567000113,603.456999979,603.478000126,604.004000149,"Left","Safebet","WouldHaveWon",0.4,10,12,30,10,0,-20
161,605.025000057,605.79100009,606.693999968,606.714000187,607.239000044,"Right","Gamble","Win",0.6,12,12,20,20,8,10
162,608.259000025,609.02400013,609.910000048,609.930999956,610.455000124,"Right","Gamble","Loss",0.6,12,12,20,0,-12,-10
163,611.476000032,612.241000137,613.150000057,613.170000038,613.696000061,"Left","Safebet","WouldHaveWon",0.1,10,3,30,10,0,-20
164,614.716999969,615.482000074,616.366000137,616.387999973,616.913000069,"Right","Safebet","WouldHaveLost",0.2,10,6,30,10,0,10
165,617.93300005,618.699000082,619.308999977,619.330000124,619.854999981,"Left","Gamble","Win",0.8,20,20,25,25,5,15
166,620.876000128,621.640000067,622.598000011,622.619000158,623.145000181,"Left","Safebet","WouldHaveLost",0.2,10,3,15,10,0,10
